artist,art,year,hsv.h.avg,hsv.h.median,hsv.h.min,hsv.h.max,hsv.s.avg,hsv.s.median,hsv.s.min,hsv.s.max,hsv.v.avg,hsv.v.median,hsv.v.min,hsv.v.max,lab.a.avg,lab.a.median,lab.a.min,lab.a.max,lab.b.avg,lab.b.median,lab.b.min,lab.b.max,lab.l.avg,lab.l.median,lab.l.min,lab.l.max,lch.c.avg,lch.c.median,lch.c.min,lch.c.max,lch.h.avg,lch.h.median,lch.h.min,lch.h.max,lch.l.avg,lch.l.median,lch.l.min,lch.l.max,rgb.b.avg,rgb.b.median,rgb.b.min,rgb.b.max,rgb.g.avg,rgb.g.median,rgb.g.min,rgb.g.max,rgb.r.avg,rgb.r.median,rgb.r.min,rgb.r.max
Rogier van der Weyden,Madonna and Child,1460,43,24,1,1,31,31,1,6,28,11,13,1,12,9,16,28,25,26,11,32,1,20,7,3,20,5,1,14,1,40,5,1,1,20,7,3,18,37,12,11,25,9,22,10,7,45,6,3
Rogier van der Weyden,Portrait of a Lady,1460,44,32,1,1,11,3,1,6,18,3,12,22,17,5,3,33,9,17,19,21,5,13,1,24,11,8,1,27,1,42,5,13,5,13,1,24,43,15,20,48,1,5,1,40,50,8,6,28
Rogier van der Weyden,Portrait of Antoine of Burgundy,1460,46,41,1,1,10,32,1,3,24,19,6,4,17,21,3,37,12,10,27,29,18,32,13,20,11,19,1,29,1,32,1,8,18,32,13,20,44,29,1,49,50,49,21,41,21,47,4,4
Rogier van der Weyden,Portrait of Francesco d'Este,1460,9,26,1,1,14,33,1,6,22,1,10,16,1,3,24,7,6,6,29,26,24,5,7,27,11,8,1,13,1,3,1,1,24,5,7,27,4,18,12,50,6,50,7,42,30,7,6,30
Rogier van der Weyden,Portrait of Philippe I de Croy,1460,44,30,1,1,32,34,1,24,30,40,4,13,17,5,22,19,7,9,17,34,35,30,4,28,21,23,1,37,1,24,5,2,35,30,4,28,45,39,14,51,51,36,2,33,51,48,26,15
Dieric Bouts,Portrait of a Man,1462,6,7,1,1,7,7,3,7,6,1,6,6,7,7,7,7,3,3,7,7,6,5,6,6,7,6,2,6,1,7,4,5,6,5,6,6,6,7,6,7,6,7,6,7,6,7,7,6
Rogier van der Weyden,Lamentation of Christ,1463,42,4,1,1,8,12,1,1,27,36,7,1,5,8,13,2,2,22,1,33,15,12,4,8,6,18,1,36,1,39,1,2,15,12,4,8,19,23,15,27,42,42,13,10,48,44,12,1
Rogier van der Weyden,Lamentation of Christ,1463,42,4,1,1,8,12,1,1,27,36,7,1,5,8,13,2,2,22,1,33,15,12,4,8,6,18,1,36,1,39,1,2,15,12,4,8,19,23,15,27,42,42,13,10,48,44,12,1
Dieric Bouts,Adoration of the Magi,1465,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Petrus Christus,Madonna of the Dry Tree,1465,40,39,1,1,29,31,2,23,25,37,12,4,6,19,22,18,23,14,31,17,29,18,1,5,14,19,1,14,1,38,1,18,29,18,1,5,14,37,19,22,45,45,3,16,44,41,24,25
Petrus Christus,Madonna of the Dry Tree,1465,40,39,1,1,29,31,2,23,25,37,12,4,6,19,22,18,23,14,31,17,29,18,1,5,14,19,1,14,1,38,1,18,29,18,1,5,14,37,19,22,45,45,3,16,44,41,24,25
Dieric Bouts,The Gathering of the Manna,1467,7,8,1,1,7,8,1,6,4,7,3,1,8,8,8,8,6,7,8,8,4,4,7,1,2,7,1,7,1,8,1,1,4,4,7,1,7,8,6,8,5,5,7,1,7,8,6,1
Dieric Bouts,The Meeting of Abraham and Melchizedek,1467,8,9,1,1,8,9,1,6,7,8,7,2,9,5,9,5,2,8,9,9,7,6,7,5,4,7,1,8,1,9,1,1,7,6,7,5,8,9,7,9,7,8,7,8,8,9,6,7
Dieric Bouts,The right wing of The Pearl of Brabant Saint Christopher,1468,2,10,1,1,9,1,1,8,8,3,8,1,7,9,10,9,7,9,2,10,8,4,8,7,7,8,1,1,1,10,1,1,8,4,8,7,9,10,8,10,8,9,8,9,4,10,8,1
Hans Memling,Adoration of the Magi Whole Triptych,1470,9,11,1,1,10,10,1,9,9,9,1,1,10,4,11,10,1,1,1,11,9,7,1,8,3,8,1,9,1,11,1,1,9,7,1,8,10,5,2,11,9,10,1,10,9,11,4,1
Hans Memling,Portrait of Jacques of Savoy,1470,20,20,1,1,16,7,6,3,1,20,5,11,4,7,4,21,13,6,17,16,15,5,5,5,7,16,2,12,1,23,5,6,15,5,5,5,19,20,4,23,23,23,14,8,23,10,11,14
Hans Memling,Scenes from the Passion of Christ,1470,22,21,1,1,8,12,1,6,17,22,7,4,1,3,14,22,16,15,10,18,3,20,7,9,16,7,1,15,1,1,1,6,3,20,7,9,21,22,15,25,25,25,7,8,25,24,6,4
Hugo van der Goes,Monforte Altarpiece,1470,16,12,1,1,3,1,1,6,19,26,10,1,3,1,10,1,12,19,23,23,24,5,7,1,1,10,1,22,1,28,1,1,24,5,7,1,5,1,12,11,30,29,7,1,30,26,6,2
Hugo van der Goes,Monforte Altarpiece,1470,16,12,1,1,3,1,1,6,19,26,10,1,3,1,10,1,12,19,23,23,24,5,7,1,1,10,1,22,1,28,1,1,24,5,7,1,5,1,12,11,30,29,7,1,30,26,6,2
Hugo van der Goes,The Adoration of the Kings ,1470,24,12,1,1,3,1,1,6,19,26,10,1,3,1,10,1,12,19,25,23,24,5,7,1,1,10,1,22,1,28,1,1,24,5,7,1,5,1,12,11,30,29,7,1,30,26,6,11
Petrus Christus,Portrait of a Young Girl,1470,4,1,1,1,3,22,1,6,21,33,10,5,20,5,4,35,12,7,35,3,32,19,7,10,12,23,1,20,1,15,10,15,32,19,7,10,42,21,12,44,21,46,22,39,46,35,6,26
Hans Memling,Portrait of Gilles Joye,1472,12,14,1,1,6,16,5,6,16,19,5,1,12,9,2,15,6,10,12,20,16,18,4,1,1,1,3,21,1,17,8,9,16,18,4,1,18,19,12,22,22,22,13,1,22,23,16,1
Hans Memling,Portrait of Maria Portinari,1472,21,7,1,1,17,17,1,14,15,21,3,7,9,3,15,12,11,9,20,3,20,19,3,14,15,12,1,21,1,24,1,1,20,19,3,14,20,21,11,24,24,24,1,20,24,19,17,9
Hans Memling,The Man of Sorrows in the Arms of the Virgin,1475,16,23,1,1,7,7,1,13,4,23,3,7,4,4,15,23,17,15,17,21,22,21,1,12,4,9,1,23,1,16,5,1,22,21,1,12,23,24,11,6,27,27,12,18,27,9,18,9
Hugo van der Goes,Portinari Altarpiece,1475,3,26,1,1,20,19,1,6,9,26,4,13,7,9,19,2,17,8,24,18,23,5,4,6,4,16,1,25,1,28,1,1,23,5,4,6,25,26,12,28,31,30,13,15,29,26,11,15
Hugo van der Goes,Virgin and Child With St. Anne and a Franciscan donor,1475,26,9,1,1,23,15,1,7,3,14,9,9,17,14,10,26,11,1,27,3,8,14,11,2,9,10,1,19,1,9,1,1,8,14,11,2,27,24,18,14,13,32,16,2,32,7,21,12
Hans Memling,Christ Giving His Blessing,1478,13,13,1,1,11,12,4,4,12,13,7,1,9,5,15,15,12,11,12,3,14,11,5,1,12,11,2,13,1,15,6,7,14,11,5,1,14,14,13,16,14,14,10,14,14,16,12,1
Hans Memling,St John Altarpiece,1479,21,22,1,1,18,7,1,4,5,20,4,1,15,16,7,1,6,16,21,3,21,5,5,1,16,16,1,22,1,25,1,1,21,5,5,1,22,23,3,26,26,26,14,21,26,10,15,1
